Country,Days Taken
Singapore,76
Australia,61
Mexico,60
Thailand,56
Malaysia,55
Nepal,53
Canada,50
Brazil,49
Finland,49
Philippines,47
Sweden,47
Sri Lanka,46
Cambodia,41
Japan,40
Russia,40
Spain,40
France,39
United Arab Emirates,39
Belgium,38
United States,37
Germany,36
Vietnam,36
India,34
Maldives,33
South Korea,32
Egypt,31
Iran,30
Montenegro,28
San Marino,28
Uganda,28
Kyrgyzstan,27
Nigeria,27
China,25
Gambia,25
Italy,25
New Zealand,25
Laos,24
Bahamas,23
Grenada,23
Mali,23
Brunei,21
El Salvador,21
Guinea-Bissau,21
Libya,21
Austria,20
Israel,20
Oman,20
Dominican Republic,18
Estonia,18
Netherlands,18
Iceland,17
Lithuania,17
Algeria,16
Croatia,16
Luxembourg,16
Monaco,16
Switzerland,16
Denmark,15
Norway,15
