Country,Death Ratio,Confirmed Cases,Deaths
Gambia,0.25,4,1
Liberia,0.21428571428571427,14,3
Bahamas,0.1724137931034483,29,5
Mauritania,0.16666666666666666,6,1
Sudan,0.16666666666666666,12,2
Belize,0.14285714285714285,7,1
Guyana,0.12903225806451613,31,4
Angola,0.125,16,2
Italy,0.12465766860057187,132547,16523
Algeria,0.12157413914265636,1423,173
San Marino,0.12030075187969924,266,32
Mali,0.10638297872340426,47,5
United Kingdom,0.10300503070066375,52279,5385
Zimbabwe,0.1,10,1
Netherlands,0.09901722498150692,18926,1874
Spain,0.0976111212730931,136675,13341
Bangladesh,0.0975609756097561,123,12
France,0.09019532552570153,98963,8926
Indonesia,0.08390204737053392,2491,209
Belgium,0.07840876333237244,20814,1632
