Recovered,Country,Confirmed Cases,Recovered Ratio
77310,China,82665,0.9352204681545999
24236,Iran,60500,0.40059504132231405
8056,Switzerland,21657,0.37198134552338735
6598,South Korea,10284,0.6415791520809023
997,Peru,2561,0.3893010542756736
793,Thailand,2220,0.3572072072072072
458,Bahrain,756,0.6058201058201058
344,Iraq,1031,0.33365664403491757
126,Jordan,349,0.36103151862464183
95,Vietnam,245,0.3877551020408163
92,Senegal,226,0.40707964601769914
82,Brunei,135,0.6074074074074074
65,Venezuela,165,0.3939393939393939
53,Cambodia,114,0.4649122807017544
23,Togo,58,0.39655172413793105
13,Maldives,19,0.6842105263157895
4,Eswatini,10,0.4
2,Bhutan,5,0.4
2,Gambia,4,0.5
2,Mauritania,6,0.3333333333333333
