Singapore,23-01-2020,76
Australia,23-01-2020,61
Mexico,23-01-2020,60
Thailand,22-01-2020,56
Malaysia,23-01-2020,55
Nepal,25-01-2020,53
Canada,26-01-2020,50
Brazil,23-01-2020,49
Finland,29-01-2020,49
Philippines,23-01-2020,47
Sweden,31-01-2020,47
Sri Lanka,27-01-2020,46
Cambodia,27-01-2020,41
Russia,31-01-2020,40
Japan,22-01-2020,40
Spain,31-01-2020,40
United Arab Emirates,29-01-2020,39
France,24-01-2020,39
Belgium,04-02-2020,38
United States,22-01-2020,37
Vietnam,23-01-2020,36
Germany,27-01-2020,36
India,30-01-2020,34
Maldives,08-02-2020,33
South Korea,22-01-2020,32
Egypt,14-02-2020,31
Iran,19-02-2020,30
Uganda,21-02-2020,28
Montenegro,17-02-2020,28
San Marino,27-01-2020,28
Nigeria,28-02-2020,27
Kyrgyzstan,18-02-2020,27
Gambia,22-02-2020,25
Italy,30-01-2020,25
China,22-01-2020,25
New Zealand,28-02-2020,25
Laos,24-02-2020,24
Mali,25-02-2020,23
Bahamas,22-02-2020,23
Grenada,22-02-2020,23
Libya,24-02-2020,21
El Salvador,19-02-2020,21
Brunei,09-03-2020,21
Guinea-Bissau,25-02-2020,21
Oman,24-02-2020,20
Austria,25-02-2020,20
Israel,21-02-2020,20
Netherlands,27-02-2020,18
Estonia,27-02-2020,18
Dominican Republic,01-03-2020,18
Iceland,28-02-2020,17
Lithuania,28-02-2020,17
Croatia,25-02-2020,16
Monaco,29-02-2020,16
Algeria,25-02-2020,16
Luxembourg,29-02-2020,16
Switzerland,25-02-2020,16
Denmark,27-02-2020,15
Norway,26-02-2020,15
Morocco,02-03-2020,14
Senegal,02-03-2020,14
Togo,06-03-2020,14
North Macedonia,26-02-2020,14
Indonesia,02-03-2020,14
Romania,26-02-2020,14
Benin,16-03-2020,14
Argentina,03-03-2020,13
South Africa,05-03-2020,13
Chile,03-03-2020,13
Ireland,29-02-2020,12
Guinea,13-03-2020,12
Poland,04-03-2020,12
Tunisia,04-03-2020,12
Cuba,12-03-2020,12
Jordan,03-03-2020,12
Cameroon,06-03-2020,12
Latvia,02-03-2020,11
Ecuador,01-03-2020,11
Costa Rica,06-03-2020,11
Slovenia,05-03-2020,11
Colombia,06-03-2020,10
Qatar,29-02-2020,10
Lebanon,21-02-2020,10
Serbia,06-03-2020,10
Peru,06-03-2020,10
Czechia,01-03-2020,10
Bangladesh,08-03-2020,9
Mongolia,10-02-2020,9
Afghanistan,24-02-2020,8
Bulgaria,08-03-2020,8
Greece,26-02-2020,8
Saudi Arabia,02-03-2020,7
Hungary,04-03-2020,7
United Kingdom,11-03-2020,7
Kuwait,24-02-2020,6
Malta,07-03-2020,6
Eritrea,21-03-2020,6
Cote d'Ivoire,11-03-2020,6
Burkina Faso,10-03-2020,6
Bosnia and Herzegovina,05-03-2020,6
Eswatini,14-03-2020,5
Iraq,23-02-2020,5
Turkey,11-03-2020,5
Georgia,26-02-2020,5
Angola,20-03-2020,4
Cyprus,09-03-2020,4
Guyana,12-03-2020,4
Azerbaijan,28-02-2020,4
Zimbabwe,20-03-2020,4
Slovakia,06-03-2020,4
Portugal,02-03-2020,3
Kazakhstan,13-03-2020,3
Kenya,13-03-2020,3
Ethiopia,13-03-2020,3
Moldova,08-03-2020,3
Papua New Guinea,20-03-2020,3
Paraguay,08-03-2020,3
Sudan,13-03-2020,3
Ukraine,03-03-2020,3
Djibouti,18-03-2020,2
Namibia,14-03-2020,2
Panama,10-03-2020,2
Zambia,18-03-2020,2
Ghana,14-03-2020,2
Rwanda,14-03-2020,2
Saint Lucia,14-03-2020,2
Saint Vincent and the Grenadines,14-03-2020,2
Seychelles,14-03-2020,2
Albania,09-03-2020,2
Somalia,16-03-2020,2
Guatemala,14-03-2020,2
Barbados,17-03-2020,2
Gabon,14-03-2020,2
Bahrain,24-02-2020,2
Jamaica,11-03-2020,2
Mauritania,14-03-2020,2
Venezuela,14-03-2020,2
Mozambique,22-03-2020,1
Mauritius,18-03-2020,1
Honduras,11-03-2020,1
Dominica,22-03-2020,1
Fiji,19-03-2020,1
Pakistan,26-02-2020,1
Timor-Leste,22-03-2020,1
Niger,20-03-2020,1
Equatorial Guinea,15-03-2020,1
Uzbekistan,15-03-2020,1
Madagascar,20-03-2020,1
Armenia,01-03-2020,1
Chad,19-03-2020,1
Haiti,20-03-2020,0
Liberia,16-03-2020,0
Bhutan,06-03-2020,0
Belize,23-03-2020,0
Trinidad and Tobago,14-03-2020,0
Uruguay,14-03-2020,0
